MATR_ALUNO;QUADRIMESTRE
11202021702;QS 2022.1
11202021737;QS 2022.1
11202021778;QS 2022.1
11202021786;QS 2022.1
11202021789;QS 2022.1
11202021839;QS 2022.1
11202021893;QS 2022.1
11202021913;QS 2022.1
11202021952;QS 2022.1
11202021978;QS 2022.1
11202021984;QS 2022.1
11202022117;QS 2022.1
11202022128;QS 2022.1
11202022144;QS 2022.1
11202022176;QS 2022.1
11202022179;QS 2022.1
11202022209;QS 2022.1
11202022234;QS 2022.1
11202111032;QS 2022.1
11202111062;QS 2022.1
11202111064;QS 2022.1
11202111068;QS 2022.1
11202111149;QS 2022.1
11202111190;QS 2022.1
11202111196;QS 2022.1
11202111299;QS 2022.1
11202111549;QS 2022.1
11202111553;QS 2022.1
11202111564;QS 2022.1
11202111566;QS 2022.1
11202111583;QS 2022.1
11202111587;QS 2022.1
11202111597;QS 2022.1
11202111602;QS 2022.1
11202111603;QS 2022.1
11202111615;QS 2022.1
11202111638;QS 2022.1
11202111667;QS 2022.1
11202111680;QS 2022.1
11202111780;QS 2022.1
11202111824;QS 2022.1
11202111871;QS 2022.1
11202111874;QS 2022.1
11202111879;QS 2022.1
11202111916;QS 2022.1
11202111936;QS 2022.1
11202111943;QS 2022.1
11202111944;QS 2022.1
11202111949;QS 2022.1
11202111968;QS 2022.1
11202111991;QS 2022.1
11202112000;QS 2022.1
11202130011;QS 2022.1
11202130023;QS 2022.1
11202130047;QS 2022.1
11202130050;QS 2022.1
11202130083;QS 2022.1
11202130097;QS 2022.1
11202130125;QS 2022.1
11202130143;QS 2022.1
11202130155;QS 2022.1
11202130156;QS 2022.1
11202130158;QS 2022.1
11202130178;QS 2022.1
11202130191;QS 2022.1
11202130211;QS 2022.1
11202130231;QS 2022.1
11202130238;QS 2022.1
11202130257;QS 2022.1
11202130296;QS 2022.1
11202130314;QS 2022.1
11202130324;QS 2022.1
11202130342;QS 2022.1
11202130434;QS 2022.1
11202130488;QS 2022.1
11202130506;QS 2022.1
11202130546;QS 2022.1
11202130552;QS 2022.1
11202130571;QS 2022.1
11202130572;QS 2022.1
11202130599;QS 2022.1
11202130634;QS 2022.1
11202130650;QS 2022.1
11202130694;QS 2022.1
11202130700;QS 2022.1
11202130702;QS 2022.1
11202130737;QS 2022.1
11202130753;QS 2022.1
11202130763;QS 2022.1
11202130764;QS 2022.1
11202130780;QS 2022.1
11202130799;QS 2022.1
11202130805;QS 2022.1
11202130826;QS 2022.1
11202130844;QS 2022.1
11202130854;QS 2022.1
11202130896;QS 2022.1
11202130900;QS 2022.1
11202130923;QS 2022.1
11202130929;QS 2022.1
11202130965;QS 2022.1
11202130988;QS 2022.1
11202130993;QS 2022.1
11202131004;QS 2022.1
11202131006;QS 2022.1
11202131009;QS 2022.1
11202131042;QS 2022.1
11202131053;QS 2022.1
11202131105;QS 2022.1
11202131159;QS 2022.1
11202131202;QS 2022.1
11202131209;QS 2022.1
11202131225;QS 2022.1
11202131227;QS 2022.1
11202131229;QS 2022.1
11202131231;QS 2022.1
11202131240;QS 2022.1
11202131245;QS 2022.1
11202131256;QS 2022.1
11202131263;QS 2022.1
11202131264;QS 2022.1
11202131275;QS 2022.1
11202131281;QS 2022.1
11202131284;QS 2022.1
11202131313;QS 2022.1
11202131323;QS 2022.1
11202131336;QS 2022.1
11202131337;QS 2022.1
11202131343;QS 2022.1
11202131359;QS 2022.1
11202131366;QS 2022.1
11202131377;QS 2022.1
11202131386;QS 2022.1
11202131387;QS 2022.1
11202131395;QS 2022.1
11202131399;QS 2022.1
11202131426;QS 2022.1
11202131433;QS 2022.1
11202131438;QS 2022.1
11202131439;QS 2022.1
11202131465;QS 2022.1
11202131478;QS 2022.1
11202131512;QS 2022.1
11202131530;QS 2022.1
11202131532;QS 2022.1
11202131621;QS 2022.1
11202131643;QS 2022.1
11202131645;QS 2022.1
11202131660;QS 2022.1
11202131662;QS 2022.1
11202131675;QS 2022.1
11202131676;QS 2022.1
11202131698;QS 2022.1
11202131706;QS 2022.1
11202131756;QS 2022.1
11202131788;QS 2022.1
11202131804;QS 2022.1
11202131842;QS 2022.1
11202131845;QS 2022.1
11202131851;QS 2022.1
11202131860;QS 2022.1
11202131887;QS 2022.1
11202131894;QS 2022.1
11202131901;QS 2022.1
11202131930;QS 2022.1
11202131962;QS 2022.1
11202131972;QS 2022.1
11202131980;QS 2022.1
11202131985;QS 2022.1
11202132010;QS 2022.1
11202210020;QS 2022.1
11202210032;QS 2022.1
11202210061;QS 2022.1
11202210079;QS 2022.1
11202210082;QS 2022.1
13201712916;QS 2022.1
13201723204;QS 2022.1
13201723213;QS 2022.1
13201812187;QS 2022.1
13201812195;QS 2022.1
13201812291;QS 2022.1
13201812296;QS 2022.1
13201812340;QS 2022.1
13201910009;QS 2022.1
13201910045;QS 2022.1
13201910054;QS 2022.1
13201910061;QS 2022.1
13201910063;QS 2022.1
13201910085;QS 2022.1
13201910089;QS 2022.1
13201910091;QS 2022.1
11078714;QS 2022.1
11083713;QS 2022.1
11201920297;QS 2022.1
11026615;QS 2022.1
11201810772;QS 2022.1
21040112;QS 2022.1
11030615;QS 2022.1
12201733178;QS 2022.1
11201921163;QS 2022.1
11033215;QS 2022.1
11102313;QS 2022.1
11001515;QS 2022.1
21041015;QS 2022.1
11093215;QS 2022.1
11082215;QS 2022.1
11082615;QS 2022.1
